,Team,First Unit,Second Unit,First and Second Unit,Third Unit
0,Cleveland Cavaliers,9378.0,2262.0,11640.0,43.0
1,Toronto Raptors,8776.0,5252.0,14028.0,1277.0
2,Washington Wizards,7448.0,3199.0,10647.0,910.0
3,Boston Celtics,8559.0,5349.0,13908.0,1465.0
4,Chicago Bulls,8720.0,3894.0,12614.0,1689.0
5,Miami Heat,9412.0,4036.0,13448.0,397.0
6,Indiana Pacers,8860.0,5499.0,14359.0,1269.0
7,Brooklyn Nets,8368.0,3695.0,12063.0,1482.0
8,Charlotte Hornets,9470.0,4596.0,14066.0,1683.0
9,Orlando Magic,9144.0,4619.0,13763.0,1806.0
10,New York Knicks,7835.0,4898.0,12733.0,1188.0
11,Milwaukee Bucks,8091.0,5341.0,13432.0,2165.0
12,Atlanta Hawks,8812.0,3910.0,12722.0,1000.0
13,Detroit Pistons,7600.0,4705.0,12305.0,1792.0
14,Philadelphia 76ers,8893.0,4734.0,13627.0,1033.0
15,Dallas Mavericks,8437.0,4815.0,13252.0,1090.0
16,Denver Nuggets,9277.0,4291.0,13568.0,68.0
17,Golden State Warriors,6769.0,2156.0,8925.0,553.0
18,Houston Rockets,9525.0,3532.0,13057.0,1021.0
19,Los Angeles Clippers,7742.0,4864.0,12606.0,850.0
20,Los Angeles Lakers,8442.0,5418.0,13860.0,1299.0
21,Memphis Grizzlies,7624.0,3428.0,11052.0,282.0
22,Minnesota Timberwolves,5240.0,1755.0,6995.0,140.0
23,New Orleans Pelicans,8646.0,4666.0,13312.0,2146.0
24,Oklahoma City Thunder,9423.0,4548.0,13971.0,787.0
25,Phoenix Suns,8252.0,4109.0,12361.0,1356.0
26,Portland Trail Blazers,9303.0,2926.0,12229.0,235.0
27,Sacramento Kings,9145.0,4107.0,13252.0,484.0
28,San Antonio Spurs,8339.0,5732.0,14071.0,1079.0
29,Utah Jazz,10168.0,4109.0,14277.0,1009.0
